wall_type,wall_ext_rigid_in,roof_type,roof_deck_rigid_in,window_rsi,window_shgc,slab_rsi,furnace_efficiency_pct,eui_kwh_m2_yr,tedi_kwh_m2_yr,heating_demand_kwh_yr,peak_heating_load_w,peak_cooling_load_w,error
WA1,2.65,RA1,2.07,1.029,0.488,1.474,84.3,56.80411724370364,36.45843749557385,4080.962731042548,6025.069824219,3338.591064453,
WA2,6.0,RA1,5.12,0.596,0.372,1.301,85.0,53.23108346127274,32.67104620589333,2944.4713023555773,5473.086914063,3256.555419922,
WA2,5.87,RA1,3.95,0.747,0.455,2.167,92.7,51.80580501356815,31.500383606779693,2491.128202826236,5416.201171875,3261.236572266,
WA1,5.0,RA2,5.42,1.198,0.304,2.475,83.7,53.08130979280175,31.996173772294817,2896.833498428578,5497.551269531,3280.102783203,
WA1,4.07,RA2,4.33,1.093,0.577,2.015,95.4,52.909622089782616,33.30267039492657,2842.222495884889,5646.624511719,3297.220947266,
WA1,4.73,RA2,0.2,0.828,0.259,2.761,85.6,54.12224977916049,33.20489166265889,3227.9288761934545,5722.755371094,3306.468017578,
WA2,1.2,RA1,4.72,1.289,0.365,1.68,84.6,55.9442395566121,35.53983696408026,3807.4582277681893,5924.590820313,3335.411376953,
WA1,5.48,RA2,5.67,1.371,0.333,2.657,93.7,51.781602297395835,31.511078455535205,2483.4301778200775,5441.520507813,3273.179443359,
WA2,0.84,RA1,5.8,1.274,0.526,2.947,96.4,53.97599408347727,34.58417267736075,3181.411135322907,5885.663085938,3344.058837891,
WA2,4.74,RA1,0.08,0.983,0.405,2.133,91.4,53.58192789602094,33.409433174868724,3056.067710778188,5721.689453125,3296.727294922,
WA2,0.65,RA2,1.4,0.523,0.598,1.838,95.6,55.663264848108355,36.730107034223465,3718.0881107522487,6123.490722656,3363.777587891,
WA1,3.81,RA1,2.79,1.131,0.492,0.659,80.8,56.99935803732013,36.26543962301375,4143.065866925564,5917.609375,3309.846923828,
WA1,5.98,RA2,0.7,0.711,0.442,1.38,86.3,54.46993936601568,34.137724417149485,3338.5213243374837,5707.859863281,3286.108154297,
WA2,5.31,RA1,3.93,1.25,0.477,2.838,84.8,52.3596524338046,31.147464901098267,2667.2930251893904,5413.183105469,3266.801025391,
WA2,2.66,RA1,5.7,1.27,0.245,2.167,89.3,53.42658410476989,33.173025763509834,3006.656903516437,5639.22265625,3298.564697266,
WA2,2.39,RA1,1.14,0.61,0.582,1.555,91.3,54.96767579618563,35.320704609384705,3496.8381105752487,5908.959960938,3322.682373047,
WA1,4.72,RA1,1.46,0.613,0.454,0.532,93.0,55.40598648010544,36.35957501535794,3636.2543431867816,5919.569335938,3301.954345703,
WA1,4.88,RA1,1.4,1.197,0.555,1.929,84.7,54.454874716206206,33.70105899763928,3333.7302001669846,5721.333984375,3300.015380859,
WA1,3.24,RA1,4.79,0.599,0.59,0.699,86.1,56.18690634625798,36.28356794628476,3884.644642829938,5914.55078125,3314.144287109,
WA1,0.09,RA2,1.59,0.614,0.389,0.651,81.1,63.43833318067764,42.726147146337844,6191.712244675592,6813.585449219,3448.500732422,
WA2,3.08,RA2,0.65,0.953,0.625,0.465,93.3,55.827543488244864,36.924019367092335,3770.3426135718296,5984.436523438,3308.717529297,
WA2,3.86,RA2,0.19,1.399,0.581,1.48,81.8,55.66757569637453,34.776268350010376,3719.4580107533443,5808.486816406,3300.570556641,
WA2,5.4,RA1,1.93,0.634,0.257,2.004,90.0,52.77667205707832,32.400132071612354,2799.9359830732824,5542.268554688,3274.623779297,
WA2,5.97,RA2,3.18,0.908,0.472,0.613,91.9,53.566926542842914,34.0569558264668,3051.296389107704,5596.350585938,3260.322021484,
WA1,2.71,RA2,1.37,0.805,0.404,1.452,81.6,57.16460278706213,36.40065725476683,4195.625274745389,6016.088867188,3337.038330078,
WA2,3.99,RA2,2.25,0.637,0.615,0.528,94.1,54.55487374119632,35.551456293502845,3365.5360268590953,5792.369628906,3285.948486328,
WA1,0.58,RA2,4.43,1.231,0.45,1.904,89.5,57.90580221578045,38.452961635189226,4431.9523146566735,6348.052734375,3405.576416016,
WA2,2.46,RA1,5.24,1.347,0.39,2.777,80.9,54.237176866538185,32.85212881398328,3264.4862223338114,5638.850585938,3303.550537109,
WA2,2.11,RA2,3.47,0.691,0.496,0.944,81.8,56.40816547615389,35.776417182517655,3955.0222470529066,5878.942382813,3313.679931641,
WA2,4.58,RA1,3.44,1.226,0.58,2.933,93.9,51.89198533742626,31.552232760480695,2518.5394984037202,5477.453125,3276.656494141,
WA1,0.17,RA2,1.64,1.186,0.615,1.28,83.1,61.75008631140874,41.39029165986655,5654.722226746,6694.66796875,3442.298583984,
WA1,0.42,RA2,4.45,1.375,0.241,1.756,86.4,58.96166026949446,39.09886260785937,4767.794600203124,6422.484863281,3415.134521484,
WA2,0.94,RA2,1.87,0.792,0.624,1.93,95.0,55.14550995676937,36.00350356646046,3553.4035945093897,6027.482421875,3351.252685547,
WA1,4.53,RA1,0.3,0.573,0.399,1.474,90.3,55.20228722905138,35.46727335087722,3571.461320079391,5913.333496094,3314.477294922,
WA2,1.29,RA2,3.07,0.811,0.25,2.147,90.1,54.87302035737608,34.965948242999794,3466.7312311067185,5894.383789063,3335.568115234,
WA2,1.32,RA1,5.91,0.549,0.292,2.855,93.0,53.80109156673778,33.94737845503216,3125.776640833955,5792.116210938,3328.904052734,
WA2,1.97,RA2,0.05,1.172,0.279,1.358,92.0,55.831701092448576,36.49285712242189,3771.662871906219,6042.808105469,3335.539794922,
WA2,2.38,RA1,4.45,0.893,0.407,0.556,85.3,56.3628382701077,36.39259171693936,3940.604658152484,5905.535644531,3307.356201172,
WA2,4.26,RA2,2.51,0.604,0.209,1.211,93.6,53.44884127502146,33.966371027656706,3013.734811577655,5656.909667969,3281.303955078,
WA2,0.53,RA2,5.07,0.719,0.465,1.739,86.7,56.361552344794234,36.331536349880636,3940.1953156521568,6035.579101563,3355.156982422,
WA2,1.33,RA2,4.67,0.569,0.485,1.756,83.3,55.76667524094134,35.13844401359713,3750.9795493896727,5873.995605469,3329.674072266,
WA2,4.36,RA2,4.91,1.234,0.306,0.738,83.4,54.69114519256585,34.238327974355585,3408.8802110604374,5633.864257813,3272.574951172,
WA1,1.06,RA1,4.64,0.945,0.54,2.364,87.6,56.90510569916799,36.88589819421302,4113.086754679359,6172.28515625,3382.555908203,
WA2,0.91,RA2,0.41,0.898,0.336,1.078,81.0,58.765999717706656,37.94661072988686,4704.987525430657,6219.313476563,3361.422119141,
WA1,2.77,RA2,0.23,0.832,0.329,2.058,96.6,54.734610138514036,35.59808179093131,3422.7069796826104,6002.794921875,3343.636474609,
WA1,2.78,RA2,3.33,1.213,0.603,1.542,93.8,54.6375760706493,35.387362933057474,3391.843264380141,5890.668457031,3326.804931641,
WA1,3.63,RA2,3.01,1.362,0.403,2.499,94.2,53.224360669796944,33.403071401864075,2942.333986798312,5704.900390625,3309.373291016,
WA1,0.23,RA1,4.25,1.392,0.436,1.966,86.2,59.510057498605455,39.55888821515329,4942.226023953781,6511.376953125,3430.534423828,
WA2,2.45,RA2,2.03,1.038,0.555,2.065,81.1,55.18936800921599,34.020569972845216,3567.3521620205483,5764.101074219,3312.148193359,
WA1,1.7,RA2,4.34,1.091,0.608,2.664,85.7,55.84732208785125,35.350857574829824,3776.6316760768614,5977.96484375,3355.527587891,
WA1,1.86,RA2,3.94,1.096,0.258,2.228,81.4,56.58459044896537,35.569310322346716,4011.1376984866884,5979.588867188,3351.167236328,
WA2,4.88,RA2,4.02,1.246,0.532,2.166,88.9,52.3744072620651,31.81999468513799,2671.9843229709213,5455.882324219,3268.740966797,
WA2,0.11,RA2,1.85,1.356,0.354,2.38,83.3,57.74324924657342,37.015175143803745,4379.677737948186,6204.476074219,3383.934326172,
WA1,0.46,RA1,5.07,0.591,0.547,2.563,95.0,56.955370059059874,38.102265861372885,4129.6443719148265,6352.192382813,3413.102294922,
WA1,5.26,RA2,3.71,1.038,0.269,0.829,91.8,53.95341376584028,34.463933185334064,3174.227704483827,5682.953125,3280.965576172,
WA1,0.26,RA2,2.19,1.148,0.636,1.968,92.8,58.61406063094359,39.73646329873566,4657.230906503563,6544.481445313,3433.308349609,
WA2,3.2,RA1,1.86,1.228,0.411,2.563,86.3,53.91212423234316,33.15290115064377,3161.095108917765,5689.82421875,3303.275634766,
WA2,4.62,RA2,4.67,0.953,0.388,0.779,83.4,54.52020039423011,34.03230528830812,3354.5068385169393,5612.228027344,3269.999755859,
WA1,0.31,RA2,2.88,0.834,0.62,2.235,88.8,58.73241907448215,39.11421994225679,4694.8790184781255,6476.143066406,3427.127685547,
WA1,0.5,RA2,0.96,0.904,0.431,2.552,81.6,59.829986419864575,38.78574090968145,5043.9865490351895,6470.265136719,3424.536865234,
WA1,5.31,RA2,5.58,0.873,0.378,1.341,86.6,53.736218960166305,33.48297030683882,3105.143231650781,5582.639648438,3275.558349609,
WA1,1.35,RA2,1.91,0.589,0.522,1.239,82.5,58.90148162440188,38.412873595400185,4748.654517687813,6278.131835938,3377.413818359,
WA1,5.5,RA2,2.83,1.248,0.541,1.593,90.5,53.21641524963912,33.19353500827463,2939.8071312407346,5596.48046875,3280.840087891,
WA1,1.54,RA1,5.01,0.994,0.527,1.749,81.9,57.38969304209891,36.64170273926143,4267.22086924711,6083.036132813,3361.659912109,
WA2,1.81,RA1,0.29,0.878,0.557,1.561,81.9,57.20398008966625,36.31665554142082,4208.150231144298,6061.948242188,3342.957763672,
WA2,3.79,RA1,3.45,1.147,0.331,0.354,86.0,56.101941987727024,36.2741219779082,3857.6207169749855,5846.028320313,3286.885498047,
WA2,3.99,RA1,0.51,1.377,0.23,1.744,88.6,54.33164907793497,34.09291099418975,3294.5358643022955,5770.765625,3301.561279297,
WA1,5.24,RA2,0.26,0.848,0.368,2.33,86.1,53.99416694118888,33.224566081628794,3187.189943938641,5695.8984375,3298.761474609,
WA1,1.45,RA2,3.94,0.593,0.462,2.355,82.3,56.99576677374193,36.12093049307372,4141.923017757983,6065.465820313,3365.888916016,
WA2,4.88,RA2,1.05,1.201,0.409,2.193,90.7,52.841308133764585,32.502145162421435,2820.4950653119517,5574.389648438,3281.289306641,
WA1,4.3,RA1,5.66,0.533,0.291,2.446,95.1,52.46154370224301,32.58743701305477,2699.702150493095,5579.379394531,3291.989013672,
WA2,3.09,RA2,5.93,0.989,0.314,2.346,83.2,53.543130259005466,32.50465539579196,3043.7261307683143,5556.993164063,3288.703857422,
WA2,5.19,RA1,1.99,0.612,0.366,2.707,92.6,52.186598851326664,31.784004017365802,2612.249350978688,5508.296875,3276.461669922,
WA2,5.84,RA2,2.98,0.948,0.616,1.726,93.6,52.10757773375621,32.11796106559471,2587.11480234747,5461.737792969,3262.231201172,
WA2,2.58,RA1,5.97,0.662,0.332,0.622,85.6,55.75746055211061,35.77972738089672,3748.048776887328,5826.915527344,3299.457763672,
